,district_Name,property_size,property_price
9247,فيلا للبيع في طريق الأمير محمد بن سعد بن عبدالعزيز ، حي الملقا ، الرياض ، الرياض,350 م²,"3,800,000 ريال"
9249,فيلا للبيع في شارع امين الدين النويري ، حي طويق ، الرياض ، الرياض,375 م²,"1,300,000 ريال"
9251,فيلا للبيع في شارع عبدالله حدادي ، حي العارض ، الرياض ، الرياض,200 م²,"2,100,000 ريال"
9253,فيلا للبيع في حي الرمال ، الرياض ، الرياض,240 م²,"1,170,000 ريال"
9255,فيلا للبيع في شارع احمد بن الخطاب ، حي طويق ، الرياض ، الرياض,280 م²,"1,100,000 ريال"
9257,فيلا للبيع في شارع أحمد بن محمد الدلوالي ، حي الرمال ، الرياض ، الرياض,234 م²,"1,500,000 ريال"
9259,فيلا للبيع في شارع محمد بن سلطان ، حي مطار الملك خالد الدولي ، الرياض ، الرياض,300 م²,"1,350,000 ريال"
9261,فيلا للبيع في شارع محمد المعافري ، حي طويق ، الرياض ، الرياض,360 م²,"1,450,000 ريال"
9263,فيلا للبيع في شارع الوشيمه ، حي اليرموك ، الرياض ، الرياض,200 م²,"1,650,000 ريال"
9265,فيلا للبيع في شارع محمد الاكحل ، حي عكاظ ، الرياض ، الرياض,300 م²,"1,050,000 ريال"
9267,فيلا للبيع في حي ، شارع ريحانه بنت زيد ، حي العارض ، الرياض ، الرياض,312 م²,"2,700,000 ريال"
9269,فيلا للبيع في شارع الامام مسلم ، حي بدر ، الرياض ، الرياض,250 م²,"850,000 ريال"
9271,فيلا للبيع في شارع عبدالعزيز الدراوردي ، حي طويق ، الرياض ، الرياض,300 م²,"1,250,000 ريال"
9273,فيلا للبيع في شارع عبدالرحمن الداخل ، حي طويق ، الرياض ، الرياض,315 م²,"1,300,000 ريال"
9275,فيلا للبيع في طريق أنس ابن مالك ، حي الملقا ، الرياض ، الرياض,600 م²,"6,200,000 ريال"
9277,فيلا للبيع في شارع سعود بن مرشود ، حي طويق ، الرياض ، الرياض,300 م²,"1,450,000 ريال"
9279,فيلا للبيع في شارع ابن الربيع الشيباني ، حي الرمال ، الرياض ، الرياض,375 م²,"2,050,000 ريال"
9281,فيلا للبيع في شارع عتبة الهذلي ، حي بدر ، الرياض ، الرياض,250 م²,"950,000 ريال"
9283,فيلا للبيع في حي الدار البيضاء ، الرياض ، الرياض,418 م²,"800,000 ريال"
9285,فيلا للبيع في شارع الحيرة ، حي الملقا ، الرياض ، الرياض,405 م²,"4,500,000 ريال"
9287,"فيلا للبيع في طريق بدون اسم, الرمال, الرياض",300 م²,"1,350,000 ريال"
9289,فيلا للبيع في حي ، شارع يعقوب الصفار ، حي المهدية ، الرياض ، الرياض,200 م²,"1,250,000 ريال"
9291,فيلا للبيع في شارع جبل اليمامة ، حي طويق ، الرياض ، الرياض,200 م²,"920,000 ريال"
9293,فيلا للبيع في طريق الصحابة ، حي المونسية ، الرياض ، الرياض,324 م²,"1,850,000 ريال"
9295,فيلا للبيع في شارع اسعد الدين القطبي ، حي طويق ، الرياض ، الرياض,300 م²,"1,200,000 ريال"
